date,symbol,headline,source,created_at
2024-01-02,MSFT,MSFT misses guidance as costs rise,Reuters,2024-01-02T09:30:00Z
2024-01-03,AAPL,AAPL faces regulatory scrutiny,Bloomberg,2024-01-03T09:30:00Z
2024-01-03,MSFT,MSFT announces share buyback,Bloomberg,2024-01-03T09:30:00Z
2024-01-03,GOOG,GOOG misses guidance as costs rise,Reuters,2024-01-03T09:30:00Z
2024-01-03,AMZN,AMZN reports record quarterly revenue,Reuters,2024-01-03T09:30:00Z
2024-01-04,AAPL,AAPL beats expectations amid strong demand,Reuters,2024-01-04T09:30:00Z
2024-01-04,NVDA,NVDA announces share buyback,Bloomberg,2024-01-04T09:30:00Z
2024-01-05,AMZN,AMZN beats expectations amid strong demand,Bloomberg,2024-01-05T09:30:00Z
2024-01-05,NVDA,NVDA reports record quarterly revenue,Bloomberg,2024-01-05T09:30:00Z
2024-01-08,AAPL,Market remains cautious on AAPL,CNBC,2024-01-08T09:30:00Z
2024-01-08,META,META beats expectations amid strong demand,Bloomberg,2024-01-08T09:30:00Z
2024-01-09,AAPL,AAPL reports record quarterly revenue,CNBC,2024-01-09T09:30:00Z
2024-01-09,MSFT,MSFT faces regulatory scrutiny,Bloomberg,2024-01-09T09:30:00Z
2024-01-10,GOOG,GOOG announces share buyback,CNBC,2024-01-10T09:30:00Z
2024-01-10,NVDA,NVDA misses guidance as costs rise,Reuters,2024-01-10T09:30:00Z
2024-01-11,GOOG,GOOG reports record quarterly revenue,Reuters,2024-01-11T09:30:00Z
2024-01-11,AMZN,AMZN unveils new product lineup,CNBC,2024-01-11T09:30:00Z
2024-01-11,NVDA,NVDA faces regulatory scrutiny,Reuters,2024-01-11T09:30:00Z
2024-01-12,NVDA,Market remains cautious on NVDA,Reuters,2024-01-12T09:30:00Z
2024-01-15,GOOG,GOOG reports record quarterly revenue,Reuters,2024-01-15T09:30:00Z
2024-01-17,GOOG,GOOG faces regulatory scrutiny,CNBC,2024-01-17T09:30:00Z
2024-01-17,NVDA,NVDA announces share buyback,Reuters,2024-01-17T09:30:00Z
2024-01-18,MSFT,MSFT beats expectations amid strong demand,Bloomberg,2024-01-18T09:30:00Z
2024-01-18,GOOG,GOOG faces regulatory scrutiny,Reuters,2024-01-18T09:30:00Z
2024-01-18,META,META announces share buyback,Reuters,2024-01-18T09:30:00Z
2024-01-19,GOOG,GOOG reports record quarterly revenue,CNBC,2024-01-19T09:30:00Z
2024-01-19,AMZN,Market remains cautious on AMZN,CNBC,2024-01-19T09:30:00Z
2024-01-22,MSFT,Analysts turn optimistic on MSFT,CNBC,2024-01-22T09:30:00Z
2024-01-22,NVDA,NVDA unveils new product lineup,Bloomberg,2024-01-22T09:30:00Z
2024-01-23,AMZN,AMZN faces regulatory scrutiny,Reuters,2024-01-23T09:30:00Z
2024-01-24,AAPL,Analysts turn optimistic on AAPL,Bloomberg,2024-01-24T09:30:00Z
2024-01-24,AMZN,Analysts turn optimistic on AMZN,WSJ,2024-01-24T09:30:00Z
2024-01-24,META,META reports record quarterly revenue,CNBC,2024-01-24T09:30:00Z
2024-01-25,AAPL,AAPL announces share buyback,CNBC,2024-01-25T09:30:00Z
2024-01-25,GOOG,GOOG beats expectations amid strong demand,Bloomberg,2024-01-25T09:30:00Z
2024-01-25,META,META beats expectations amid strong demand,CNBC,2024-01-25T09:30:00Z
2024-01-26,AMZN,AMZN reports record quarterly revenue,CNBC,2024-01-26T09:30:00Z
2024-01-26,NVDA,NVDA misses guidance as costs rise,Bloomberg,2024-01-26T09:30:00Z
2024-01-29,AAPL,AAPL unveils new product lineup,Bloomberg,2024-01-29T09:30:00Z
2024-01-29,MSFT,Market remains cautious on MSFT,WSJ,2024-01-29T09:30:00Z
2024-01-30,AAPL,Market remains cautious on AAPL,Bloomberg,2024-01-30T09:30:00Z
2024-01-30,META,META faces regulatory scrutiny,Bloomberg,2024-01-30T09:30:00Z
2024-01-31,MSFT,MSFT announces share buyback,CNBC,2024-01-31T09:30:00Z
